setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,matern25_med,classical,4000,0.5482386717631419,0.8322337284826042,0.9671948719699538,6.609638320005017,0.5386724571576583,0.8351520717714258,0.9628301531787857,6.750029136236686,0.5149028206067621,0.251260209110056,0.521358054833601,0.2530326572028477,0.5096755390261296,0.25068805685295975,0.977592144785794,0.06994308846198632,0.08008666001313379,0.06832260271948888,0.011764057293644908
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,linear,classical,4000,0.9802066829783037,0.9963345744570308,0.999999999999995,1.1385122206846918,0.979221942259297,0.9968521327842179,0.9999999999999972,1.1436755463681645,0.9799430234830919,0.02485614536149346,0.9806964777080499,0.02289475672638024,0.9793625843768093,0.025129579216185888,0.9986398510022612,0.06939284105483223,0.05605842214889716,0.07568309112256309,-0.01962466897366593
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,rbf_gscale,classical,4000,0.8245815975707035,0.9521756335231927,0.9966409619133701,2.291582773020697,0.8145021031861033,0.9574826995925696,0.9954822659510616,2.372602529088697,0.81138718688586,0.16751195286874768,0.8170588852103472,0.16785413712632705,0.8059384193142428,0.16776982677265118,0.986389639599548,0.07571592747238394,0.0671374093668275,0.07952305869696721,-0.01238564933013972
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,poly2,classical,4000,0.9689199464860125,0.9937776715051913,0.9999661491111423,1.211978679323724,0.9673450118024883,0.9945295054775293,0.9999570787920808,1.2205665164860844,0.9683624094523554,0.036421544111774035,0.9694628213000565,0.034622402094113595,0.9674181936474741,0.03740884580287424,0.9978909684748503,0.06950855802531092,0.05672457156362362,0.0754870970765112,-0.018762525512887582
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,poly3,classical,4000,0.9545391420589057,0.9906333356442588,0.999893557140736,1.30367041934039,0.9522945003266773,0.9916711924554096,0.9998686218422423,1.3162866851965147,0.9534468720260978,0.05111972074043843,0.9550152323062457,0.049309921119550446,0.9520805103614077,0.05262836449235758,0.9969270417417835,0.07038797777973371,0.05797965907956282,0.07634561789688384,-0.018365958817321018
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,laplacian_med,classical,4000,0.40461030749977395,0.6384796389535379,0.8461725886965353,21.018764681525226,0.3889267619869556,0.618903480000218,0.8260437496400366,23.087066537689886,0.38075036494624953,0.19443528441495284,0.39246535073826755,0.19688721076430027,0.37046642999809004,0.1926610785043712,0.9439468460112587,0.08798253686605605,0.08733543457108785,0.10365041495823443,-0.016314980387146585
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,matern15_med,classical,4000,0.5070036769783419,0.7757149359037229,0.9408940756962609,8.989060107953893,0.490610629119934,0.7606275661103326,0.9296887547917568,9.724829222691392,0.468532993237981,0.24924631576470876,0.47989220864056453,0.2510019764538226,0.45850940445913224,0.24853496248472465,0.9554424852155751,0.0834676844648517,0.08277129280243002,0.09756396411595601,-0.01479267131352599
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,10,matern25_med,classical,4000,0.5385705943138451,0.8090746980794045,0.9575629595171448,7.400529537115161,0.5210013866982801,0.7957689312483527,0.9484841638536993,7.972941062550313,0.49656463219483993,0.2613439188524037,0.5084411254529785,0.2624750905507035,0.4859370020406905,0.26113961040887634,0.955738978840001,0.08240360384802377,0.08138442499247817,0.09472796311247061,-0.013343538119992449
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,linear,classical,4000,0.9815652029334607,0.9962049147199464,0.9999999999999952,1.1318349964684835,0.9803010503813305,0.9963303788654154,0.9999999999999972,1.139824281517507,0.9813374182580991,0.023006829096291148,0.9821467686909261,0.02113489395238107,0.9806083880033184,0.02397642836112552,0.9984336549926666,0.06914187370310901,0.05589299368542655,0.07539716791838807,-0.019504174232961524
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,rbf_gscale,classical,4000,0.8257542100089867,0.9503987019299464,0.9954529522552419,2.311740348942849,0.8140837331360364,0.953282276831403,0.9938092944452601,2.422702846980021,0.8125881196235586,0.1666244595836649,0.8192611630725151,0.1662218679458311,0.8061512322475297,0.1677627281984754,0.9839978612243517,0.0758712550334238,0.06694021956491115,0.07972697856200756,-0.0127867589970964
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,poly2,classical,4000,0.9715226103347054,0.9937804912280237,0.999949035318204,1.198456273231686,0.9695827221990713,0.9939309952397265,0.99993808714511,1.2110645487093805,0.9710449219462152,0.03352160118265296,0.9722296945232106,0.0316562048276476,0.9699021277824525,0.0353697299603282,0.9976059497525432,0.069163710871682,0.05641298376303443,0.07518851335520403,-0.018775529592169604
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,poly3,classical,4000,0.9582738797803738,0.9906811358259927,0.99984690010256,1.2845632433201446,0.9555464082776862,0.9908559496473952,0.9998144823478372,1.3028447119922322,0.9573262930938826,0.047321282077996456,0.9590259668178406,0.04528026975566041,0.9556878264333001,0.04984022573835882,0.9965192387901478,0.06999289378227848,0.057551934231388324,0.07604628293035726,-0.018494348698968932
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,laplacian_med,classical,4000,0.40342401107238796,0.6304977378369633,0.8334330897346962,22.81355058487286,0.38358863222279727,0.6059839440352347,0.8076591403086805,25.817083661976568,0.3786896452270142,0.19325720136197294,0.39265192153272005,0.1953028535752201,0.3659740769259612,0.19150580109003995,0.9320572671524905,0.08839168112664725,0.087187376139195,0.10376669518780908,-0.01657931904861408
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,matern15_med,classical,4000,0.5059627007209611,0.771019581762571,0.9339066012097234,9.385194820994029,0.48720714191094483,0.7529057583856135,0.9187056340898014,10.416420459716933,0.4670125144752455,0.24872710911648346,0.4799380369882667,0.25043376025980835,0.4555892466007172,0.24792573526946135,0.9492668042309287,0.08418881410832617,0.08274370364407332,0.0978410962359877,-0.01509739259191438
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,12,matern25_med,classical,4000,0.537532116130032,0.8043099195584875,0.9512157049704887,7.69693461003491,0.5175279605835166,0.7878125850325011,0.9389078072903627,8.497545999955902,0.4950226416036048,0.2609576191565652,0.5085632472807693,0.26198424084815786,0.48292577577007995,0.26075629432196024,0.949588430450352,0.08315356206635185,0.08135143448536157,0.09502333337669748,-0.01367189889133591
