task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,gpc,not_applicable,,,id_test,0.3441700935363769,analytic_cpu,0.612,0.5207533185095344,0.4651403868634068,0.1848739495798319,0.5794083956606698,0.4399061426192812,0.6587260078062932,0.2333655330442613,0.0386264185218444,0.6694465485930552
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,gpc,not_applicable,,,ood_test,0.3441700935363769,analytic_cpu,0.508,0.4997999199679871,0.4026226323457989,0.1517241379310344,0.5576470588235294,0.5196525481685782,0.7024820166011605,0.254223974033714,0.0812504752767881,0.6700722751150829
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,100.0,0.5609101417732434,validation,0.0139997005462646,analytic_cpu,0.556,0.5700000000000001,0.5551387486173232,0.5355648535564853,0.5772,0.4630286626009802,,,,
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,100.0,0.5609101417732434,id_test,0.0139997005462646,analytic_cpu,0.524,0.5563978168587023,0.5238095238095237,0.5333333333333333,0.5705814972036924,0.4388940993937485,,,,
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,100.0,0.5609101417732434,ood_test,0.0139997005462646,analytic_cpu,0.558,0.5600240096038416,0.5543905635648755,0.5944954128440367,0.5671068427370948,0.5312221011530921,,,,
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,gpc,not_applicable,,,validation,0.2610015869140625,analytic_cpu,0.604,0.505,0.38584083972307,0.0198019801980198,0.5898666666666667,0.4570095258164788,0.6616598180493992,0.2347002015422779,0.0355218369866464,0.6721093227838371
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,gpc,not_applicable,,,id_test,0.2610015869140625,analytic_cpu,0.616,0.5051546391752577,0.3908010965580262,0.0204081632653061,0.6116838487972509,0.4954922162907748,0.6548298702043911,0.2312729173210372,0.0463842181439814,0.6721062293425276
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,gpc,not_applicable,,,ood_test,0.2610015869140625,analytic_cpu,0.51,0.5000800320128052,0.3413659800743046,0.0080971659919028,0.5526530612244899,0.5396832312834836,0.7023392529190169,0.2543022689369359,0.0763085771551946,0.6734181539855257
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.3,4,rbf_gscale_x0.3__d4,svc,train_cv,100.0,0.5597382584470103,validation,0.0160026550292968,analytic_cpu,0.572,0.5833333333333333,0.5704536330790847,0.5446808510638298,0.5498000000000001,0.4169323146585597,,,,
diabetes_readmission,q1000,2024,classical_ext,rbf_gscale_x0.3,4,rbf_gscale_x0.3__d4,svc,train_cv,100.0,0.5597382584470103,id_test,0.0160026550292968,analytic_cpu,0.532,0.5591604339330234,0.53199251188019,0.5301204819277109,0.5746917323630483,0.4352360505284699,,,,
