match_method,scope,caliper,n_total,n_pairs,retained_fraction,median_rank_ratio,p95_rank_ratio,median_abs_log_rank_gap,mean_delta,median_delta,frac_quantum_better
nearest_with_replacement,unsw_dos_natural_cur,unfiltered,8100,8100,1.0,1.1471389931249791,1.678491502971205,0.1372710097700629,-0.0132305352146745,-0.011448975997181754,0.2551851851851852
nearest_with_replacement,unsw_recon_m2_centroid,1.10,8100,3041,0.3754320987654321,1.0489622870762167,1.0946789756781632,0.047801377458283945,-0.012028931485374105,-0.006011638532198327,0.305162775402828
nearest_with_replacement,unsw_recon_m2_centroid,1.25,8100,5654,0.6980246913580247,1.092385122897229,1.2284702713069864,0.08836349159026802,-0.014517324355313582,-0.006061672949516483,0.29748850371418467
nearest_with_replacement,unsw_recon_m2_centroid,1.50,8100,7336,0.905679012345679,1.1302312423148777,1.4064917973911177,0.12242225100511517,-0.01927514585350257,-0.0075346936734541625,0.27453653217012
nearest_with_replacement,unsw_recon_m2_centroid,2.00,8100,8002,0.9879012345679012,1.1468083342645037,1.6342953999229632,0.1369827224094593,-0.02712285856069988,-0.009396351933907199,0.2535616095976006
nearest_with_replacement,unsw_recon_m2_centroid,unfiltered,8100,8100,1.0,1.1484107251370865,1.6847899753966058,0.13837900842033002,-0.029104770802085934,-0.009954729397072759,0.25049382716049384
nearest_with_replacement,unsw_recon_natural_cur,1.10,8100,3041,0.3754320987654321,1.0489622870762167,1.0946789756781632,0.047801377458283945,-0.005934304096639926,-0.004496186270574021,0.367642222952976
nearest_with_replacement,unsw_recon_natural_cur,1.25,8100,5654,0.6980246913580247,1.092385122897229,1.2284702713069864,0.08836349159026802,-0.006533539266662155,-0.004741583688952167,0.3707110010611956
nearest_with_replacement,unsw_recon_natural_cur,1.50,8100,7336,0.905679012345679,1.1302312423148777,1.4064917973911177,0.12242225100511517,-0.00801712037427932,-0.005461462573481735,0.35782442748091603
nearest_with_replacement,unsw_recon_natural_cur,2.00,8100,8002,0.9879012345679012,1.1468083342645037,1.6342953999229632,0.1369827224094593,-0.010834525598317362,-0.007027214896744405,0.3339165208697826
nearest_with_replacement,unsw_recon_natural_cur,unfiltered,8100,8100,1.0,1.1484107251370865,1.6847899753966058,0.13837900842033002,-0.011360176207039283,-0.007183789183322409,0.33024691358024694
one_to_one,all,1.10,64800,13205,0.20378086419753086,1.0436284741718038,1.093593006184199,0.04270355847299889,-0.009147464808285504,-0.00476955890080677,0.3023097311624385
one_to_one,all,1.25,64800,24675,0.38078703703703703,1.0919192039829526,1.2315556485089212,0.08793688555879009,-0.010319958894307226,-0.005285412262156397,0.3027760891590679
one_to_one,all,1.50,64800,35129,0.5421141975308642,1.1506034095841398,1.4471768207373283,0.14028650875236437,-0.01079869504359136,-0.005664340075623442,0.3022858606849042
one_to_one,all,2.00,64800,46898,0.7237345679012346,1.2316236079099836,1.8294391886078003,0.2083333053726273,-0.010821085182498911,-0.005681818181818343,0.3076037357669837
one_to_one,all,unfiltered,64800,64800,1.0,1.4180448700792825,11.451829253274527,0.3492790708164255,-0.014474409891761866,-0.006172839506172811,0.30921296296296297
one_to_one,ember_m1,1.10,8100,2107,0.26012345679012344,1.0431831985346933,1.0940562668720593,0.04227680636144804,-0.008209917331452836,-0.008025155622409796,0.3293782629330802
one_to_one,ember_m1,1.25,8100,4058,0.5009876543209877,1.0961840020744167,1.2300320841175707,0.09183505853332219,-0.008760902642462775,-0.008563730835845718,0.32454411039921144
one_to_one,ember_m1,1.50,8100,5719,0.7060493827160493,1.1482131445005428,1.4387961288471394,0.13820694660482635,-0.008200646142593351,-0.009066786519961734,0.3198111557964679
