case,group,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,300,-0.06,-0.096,-0.042,0.012,0.004,0.024
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,400,-0.03,-0.044,-0.02,0.002,-0.008,0.012
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,500,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,0,-0.36,-0.36,-0.36,0.034,0.034,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,5,-0.356,-0.36,-0.348,0.034,0.03,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,10,-0.352,-0.36,-0.34,0.034,0.03,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,20,-0.34,-0.352,-0.328,0.034,0.026,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,30,-0.332,-0.348,-0.31189999999999996,0.034,0.026,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,40,-0.32,-0.34,-0.29989999999999994,0.034,0.026,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,50,-0.312,-0.3281,-0.284,0.03,0.024,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,75,-0.286,-0.308,-0.256,0.03,0.022,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,100,-0.26,-0.28409999999999996,-0.228,0.028,0.02,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,150,-0.212,-0.244,-0.17989999999999998,0.024,0.01395,0.034
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,200,-0.16,-0.1921,-0.11989999999999998,0.02,0.008,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,300,-0.07,-0.096,-0.05394999999999999,0.012,0.004,0.022
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,400,-0.042,-0.058,-0.03,-0.002,-0.014,0.01
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,500,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026
