run,group,dataset,dim,scope,n_kernels,rho_spec_train_eff_rank,rho_kta_ood,rho_kta_survival,partial_rho_eff_rank,partial_rho_kta_ood
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,6,all,35,-0.569467787114846,-0.611764705882353,-0.6560224089635854,-0.5276235380180196,-0.5719292734035845
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,6,classical,23,-0.4644268774703557,-0.5405138339920948,-0.6106719367588932,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,6,quantum,12,-0.7272727272727274,-0.7342657342657343,-0.7622377622377624,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,8,all,35,-0.48935574229691886,-0.4722689075630252,-0.4750700280112045,-0.4578328212514603,-0.43188455698520406
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,8,classical,23,-0.45158102766798425,-0.40711462450592883,-0.40513833992094866,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,8,quantum,12,-0.7692307692307694,-0.7622377622377624,-0.7202797202797203,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,10,all,35,-0.6885154061624651,-0.7184873949579832,-0.7453781512605042,-0.6665270514227094,-0.7032228136965534
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,10,classical,23,-0.8389328063241107,-0.8468379446640316,-0.8596837944664032,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,10,quantum,12,-0.2517482517482518,-0.2937062937062937,-0.4895104895104896,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,12,all,35,-0.6095238095238096,-0.6677871148459383,-0.7092436974789916,-0.572053228697468,-0.6386023235745695
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,12,classical,23,-0.7114624505928854,-0.717391304347826,-0.7411067193675891,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,12,quantum,12,-0.3076923076923077,-0.4825174825174825,-0.6993006993006995,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,4,all,35,0.39187675070028016,0.3557422969187675,0.16498599439775913,0.4107525429631968,0.3571867532982162
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,4,classical,23,0.5741106719367589,0.47332015810276684,0.21047430830039524,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,4,quantum,12,0.04895104895104895,0.1188811188811189,-0.11188811188811189,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,6,all,35,-0.577310924369748,-0.6162464985994398,-0.6588235294117647,-0.5255607483549749,-0.565495335400613
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,6,classical,23,-0.4644268774703557,-0.5405138339920948,-0.6106719367588932,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,6,quantum,12,-0.7552447552447553,-0.7482517482517484,-0.7342657342657343,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,8,all,35,-0.4876750700280112,-0.47002801120448184,-0.47030812324929977,-0.4610003369043123,-0.43388755891857095
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,8,classical,23,-0.45158102766798425,-0.40711462450592883,-0.40513833992094866,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,8,quantum,12,-0.7832167832167832,-0.7692307692307694,-0.6853146853146854,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,10,all,35,-0.689075630252101,-0.719327731092437,-0.7464985994397759,-0.6662598703091841,-0.7030933726654953
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,10,classical,23,-0.8379446640316206,-0.8458498023715416,-0.8586956521739131,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,10,quantum,12,-0.25874125874125875,-0.30069930069930073,-0.49650349650349657,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m1,ember,12,all,35,-0.6126479460363304,-0.6699348710314971,-0.7095735012848764,-0.5812755502640716,-0.6463355097356632
