model,kernel,delta_ood,setting,qs,seed
svc,poly3,0.023344547671224423,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,rbf_gscale,0.004776690638599956,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,laplacian_med,0.008536683230963904,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,linear,0.06198462915522085,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,matern15_med,0.005445229791042894,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,matern25_med,0.0017333868329268975,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,poly2,0.0077453007808883315,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,poly3,0.050122534646131124,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,rbf_gscale,0.020937683261829078,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,laplacian_med,0.0010327479243186666,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,linear,0.04290811444797682,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,matern15_med,-0.0012105311892342207,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,matern25_med,0.002632797308558854,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,poly2,0.0009068181116701046,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,poly3,0.023344547671224423,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
svc,rbf_gscale,0.004776690638599956,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42
gpc,laplacian_med,0.008536683230963904,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,linear,0.06198462915522085,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,matern15_med,0.005004475446773027,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,matern25_med,0.001842649464489643,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,poly2,0.0077453007808883315,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,poly3,0.050122534646131124,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,rbf_gscale,0.020937683261829078,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,laplacian_med,0.0009222506867496039,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
