dim,kernel,family,representation,spec_train_eff_rank,kta_train,setting,qs,seed
4,matern15_med,classical_ext_plain,plain,7.002447476385339,0.1160457048280024,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,matern25_med,classical_ext_plain,plain,5.755798682254879,0.116474651678187,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,linear,classical_ext_plain,plain,4.480663523524957,0.093768744141239,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,rbf_gscale,classical_ext_plain,plain,11.56227837209236,0.0986912389622483,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,poly2,classical_ext_plain,plain,6.851187494886105,0.0946569805281143,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,poly3,classical_ext_plain,plain,10.146897774262705,0.0950904212197808,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,laplacian_med,classical_ext_plain,plain,17.7968034939949,0.0963113984875209,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,matern15_med,classical_ext_plain,plain,8.046177134091433,0.0972757961502315,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
6,matern25_med,classical_ext_plain,plain,6.609630097831665,0.097123692713278,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,linear,classical_ext_plain,plain,5.774303695739853,0.0972961382203403,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,rbf_gscale,classical_ext_plain,plain,13.305376095148,0.0928443943997719,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,poly2,classical_ext_plain,plain,8.05867197784152,0.0955857035798117,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,poly3,classical_ext_plain,plain,11.987603580774625,0.0943146100400659,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,laplacian_med,classical_ext_plain,plain,19.103803799880243,0.0916775634142811,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,matern15_med,classical_ext_plain,plain,8.837546475823222,0.0938566575102488,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
8,matern25_med,classical_ext_plain,plain,7.328274216641356,0.0942241272709073,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,linear,classical_ext_plain,plain,6.750364997016257,0.1025805401872783,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,rbf_gscale,classical_ext_plain,plain,14.722524101515036,0.0945300555142931,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,poly2,classical_ext_plain,plain,8.749722413643545,0.0973351676827285,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,poly3,classical_ext_plain,plain,13.386121151010943,0.0973516588829197,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,laplacian_med,classical_ext_plain,plain,21.690691579716454,0.0928148811366604,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,matern15_med,classical_ext_plain,plain,9.783670176301015,0.0945923780906283,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
10,matern25_med,classical_ext_plain,plain,8.009512310030841,0.0939974950214636,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,linear,classical_ext_plain,plain,7.652719632625335,0.1033506175532613,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,rbf_gscale,classical_ext_plain,plain,14.963445771872138,0.0911602038627129,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,poly2,classical_ext_plain,plain,8.98736907546502,0.0955436137872075,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,poly3,classical_ext_plain,plain,13.987148376454376,0.0956641711690499,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,laplacian_med,classical_ext_plain,plain,24.800182349225302,0.0905473946229712,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,matern15_med,classical_ext_plain,plain,11.137536281964987,0.0915760656104815,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
12,matern25_med,classical_ext_plain,plain,9.075490425278147,0.0908017396005484,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,linear,classical_ext_plain,plain,3.041730690915648,0.1252090355508907,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123
