run,group,model,shots,same_selection,ood_exact_selection,ood_shots_selection,selection_regret
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,gpc,8192,True,0.7283340817242928,0.7283340817242928,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,svc,128,False,0.7571685162614664,0.744932324074668,0.01223619218679839
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,svc,512,False,0.7571685162614664,0.744932324074668,0.01223619218679839
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,svc,2048,False,0.7571685162614664,0.7764288921675541,-0.019260375906087646
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,svc,8192,False,0.7571685162614664,0.7697414843800116,-0.012572968118545136
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,gpc,128,False,0.7589651639344263,0.7663934426229508,-0.007428278688524581
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,gpc,512,False,0.7589651639344263,0.7702996926229508,-0.011334528688524581
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,gpc,2048,True,0.7589651639344263,0.7589651639344263,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,gpc,8192,True,0.7589651639344263,0.7589651639344263,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,svc,128,False,0.7764472336065573,0.7750064036885246,0.0014408299180327377
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,svc,512,False,0.7764472336065573,0.7461898053278688,0.030257428278688492
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,svc,2048,False,0.7764472336065573,0.7461898053278688,0.030257428278688492
m2_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m2,svc,8192,False,0.7764472336065573,0.7700115266393442,0.006435706967213073
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,gpc,128,False,0.7464674913187499,0.7337936662879454,0.012673825030804498
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,gpc,512,False,0.7464674913187499,0.7501320190107374,-0.0036645276919875513
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,gpc,2048,False,0.7464674913187499,0.7460834360147861,0.00038405530396379284
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,gpc,8192,True,0.7464674913187499,0.7464674913187499,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,svc,128,False,0.7318653886159607,0.746179449840777,-0.014314061224816266
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,svc,512,False,0.7318653886159607,0.7524443519866861,-0.0205789633707254
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,svc,2048,False,0.7318653886159607,0.7482037413387528,-0.01633835272279205
m2_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember_m2,svc,8192,False,0.7318653886159607,0.7420348530188348,-0.010169464402874029
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,gpc,128,False,0.7880128329768618,0.7781288482727332,0.009883984704128546
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,gpc,512,False,0.7880128329768618,0.7781288482727332,0.009883984704128546
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,gpc,2048,False,0.7880128329768618,0.7893577030267678,-0.0013448700499060218
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,gpc,8192,False,0.7880128329768618,0.7776751571715601,0.01033767580530165
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,svc,128,False,0.7983991185430035,0.8042160865901873,-0.00581696804718379
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,svc,512,False,0.7983991185430035,0.8042160865901873,-0.00581696804718379
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,svc,2048,False,0.7983991185430035,0.7933923131764858,0.005006805366517653
m2_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember_m2,svc,8192,True,0.7983991185430035,0.7983991185430035,0.0
