task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,train_cv,1.0,0.6247660590855469,validation,0.0400002002716064,cuda,0.732,0.6370751341681574,0.6464081400012666,0.4724409448818897,0.719569916517591,0.551623484070525,,,,
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,train_cv,1.0,0.6247660590855469,id_test,0.0400002002716064,cuda,0.734,0.6557295136575616,0.6649384544845343,0.5128205128205128,0.7556999037678583,0.6384864858503978,,,,
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,train_cv,1.0,0.6247660590855469,ood_test,0.0400002002716064,cuda,0.679,0.6387705567663958,0.6367623645072699,0.5128983308042488,0.7548172181493956,0.6761011615883827,,,,
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,gpc,not_applicable,,,validation,1.7664289474487305,cuda,0.71,0.5597793679189028,0.538143016403886,0.2564102564102564,0.7070848240906381,0.5493661692466063,0.5985044098035421,0.2041312499116525,0.1161486299011224,0.6610933961548314
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,gpc,not_applicable,,,id_test,1.7664289474487305,cuda,0.74,0.6141461248056851,0.6161659108087679,0.3981481481481481,0.7222037160411577,0.6204626083678584,0.5866638114905113,0.1984718748569219,0.1367331422795564,0.6607261549173187
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,gpc,not_applicable,,,ood_test,1.7664289474487305,cuda,0.647,0.5814097483653655,0.5441485068603713,0.3276190476190476,0.7249768839574664,0.6702953173174492,0.624982696391759,0.2173024324158309,0.1041963610757802,0.6593811962569279
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,fixed_c1,1.0,,validation,0.0413465499877929,cuda,0.732,0.6370751341681574,0.6464081400012666,0.4724409448818897,0.719569916517591,0.551623484070525,,,,
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,fixed_c1,1.0,,id_test,0.0413465499877929,cuda,0.734,0.6557295136575616,0.6649384544845343,0.5128205128205128,0.7556999037678583,0.6384864858503978,,,,
acsincome,q2000,999,quantum,zz_r1_full__as2,10,zz_r1_full__as2__d10,svc,fixed_c1,1.0,,ood_test,0.0413465499877929,cuda,0.679,0.6387705567663958,0.6367623645072699,0.5128983308042488,0.7548172181493956,0.6761011615883827,,,,
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,train_cv,1.0,0.5876216151636809,validation,0.03999924659729,cuda,0.716,0.5834078711985689,0.5778935102613493,0.3364485981308411,0.6679524448419797,0.5103298795183243,,,,
