source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,kta_train,honest,-0.4785317018909899,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,kta_id,honest,-0.2867630700778643,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,spec_train_eff_rank,honest,0.6200222469410456,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,ood_novelty_ratio,label_free,-0.7588431590656284,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,kta_ood,diagnostic,0.6345864661654135,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.4601503759398496,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,kta_train,honest,-0.42105263157894735,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,kta_id,honest,-0.17593984962406017,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,spec_train_eff_rank,honest,0.512781954887218,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,quantum,ood_novelty_ratio,label_free,-0.5954887218045113,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,kta_ood,diagnostic,0.7397107897664071,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,kta_drop_id_to_ood,diagnostic,-0.7379310344827587,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,kta_train,honest,-0.5283648498331479,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,kta_id,honest,-0.35572858731924356,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,spec_train_eff_rank,honest,0.6854282536151279,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,all,ood_novelty_ratio,label_free,-0.7659621802002224,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,kta_ood,diagnostic,0.6285714285714286,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.49323308270676686,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,kta_train,honest,-0.45112781954887216,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,kta_id,honest,-0.23909774436090225,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,spec_train_eff_rank,honest,0.4947368421052631,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,svc,quantum,ood_novelty_ratio,label_free,-0.5172932330827067,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,kta_ood,diagnostic,0.705083995908251,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,kta_drop_id_to_ood,diagnostic,-0.6145288724198766,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,kta_train,honest,-0.41695405753615095,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,kta_id,honest,-0.24185115290383996,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,spec_train_eff_rank,honest,0.6118589424890156,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,all,ood_novelty_ratio,label_free,-0.7070864433563969,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,kta_ood,diagnostic,0.6694246430534136,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.4625799499751117,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,kta_train,honest,-0.10003761519786969,20,ember_m1
