group,model,scope,predictor,kind,n_units,median_rho,frac_pos
unsw_recon_m2_centroid,svc,classical,ood_novelty_ratio,label_free,45,-0.622272561409414,0.044444444444444446
unsw_recon_m2_centroid,svc,classical,spec_train_eff_rank,honest,45,0.7043326990848444,1.0
unsw_recon_m2_centroid,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.08721804511278194,0.2
unsw_recon_m2_centroid,svc,quantum,kta_id,honest,45,0.5308270676691729,1.0
unsw_recon_m2_centroid,svc,quantum,kta_ood,diagnostic,45,0.4977443609022556,1.0
unsw_recon_m2_centroid,svc,quantum,kta_train,honest,45,0.6,1.0
unsw_recon_m2_centroid,svc,quantum,ood_novelty_ratio,label_free,45,0.41594587371745817,1.0
unsw_recon_m2_centroid,svc,quantum,spec_train_eff_rank,honest,45,-0.34298610924983897,0.0
unsw_recon_natural_cur,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.2844277673545967,0.17777777777777778
unsw_recon_natural_cur,gpc,all,kta_id,honest,45,-0.07748592870544091,0.4
unsw_recon_natural_cur,gpc,all,kta_ood,diagnostic,45,0.47065477264761363,0.8888888888888888
unsw_recon_natural_cur,gpc,all,kta_train,honest,45,-0.057410881801125704,0.35555555555555557
unsw_recon_natural_cur,gpc,all,ood_novelty_ratio,label_free,45,-0.05900839633115715,0.37777777777777777
unsw_recon_natural_cur,gpc,all,spec_train_eff_rank,honest,45,0.4502087344884311,0.9555555555555556
unsw_recon_natural_cur,gpc,classical,kta_drop_id_to_ood,diagnostic,45,-0.07368421052631578,0.4666666666666667
unsw_recon_natural_cur,gpc,classical,kta_id,honest,45,0.26616541353383455,0.8222222222222222
unsw_recon_natural_cur,gpc,classical,kta_ood,diagnostic,45,0.3789473684210526,0.8444444444444444
unsw_recon_natural_cur,gpc,classical,kta_train,honest,45,0.2721804511278195,0.8222222222222222
unsw_recon_natural_cur,gpc,classical,ood_novelty_ratio,label_free,45,-0.25112781954887214,0.2
unsw_recon_natural_cur,gpc,classical,spec_train_eff_rank,honest,45,0.3699248120300751,0.7111111111111111
unsw_recon_natural_cur,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,0.19255360519289205,0.6888888888888889
unsw_recon_natural_cur,gpc,quantum,kta_id,honest,45,0.10977443609022557,0.6888888888888889
unsw_recon_natural_cur,gpc,quantum,kta_ood,diagnostic,45,-0.03458646616541353,0.4444444444444444
unsw_recon_natural_cur,gpc,quantum,kta_train,honest,45,0.13684210526315788,0.6666666666666666
unsw_recon_natural_cur,gpc,quantum,ood_novelty_ratio,label_free,45,0.27368421052631575,0.8222222222222222
unsw_recon_natural_cur,gpc,quantum,spec_train_eff_rank,honest,45,-0.12481203007518797,0.37777777777777777
unsw_recon_natural_cur,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.27511749217199094,0.1111111111111111
unsw_recon_natural_cur,svc,all,kta_id,honest,45,-0.03114446529080676,0.4
unsw_recon_natural_cur,svc,all,kta_ood,diagnostic,45,0.4028928178338561,0.9777777777777777
unsw_recon_natural_cur,svc,all,kta_train,honest,45,-0.0275797373358349,0.4666666666666667
unsw_recon_natural_cur,svc,all,ood_novelty_ratio,label_free,45,0.047563206581711724,0.6222222222222222
unsw_recon_natural_cur,svc,all,spec_train_eff_rank,honest,45,0.3524555564644792,0.8666666666666667
unsw_recon_natural_cur,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.30433198976500225,0.08888888888888889
unsw_recon_natural_cur,svc,classical,kta_id,honest,45,0.24060150375939846,0.6888888888888889
unsw_recon_natural_cur,svc,classical,kta_ood,diagnostic,45,0.4934186133067859,0.9333333333333333
unsw_recon_natural_cur,svc,classical,kta_train,honest,45,0.18284429555318935,0.6888888888888889
unsw_recon_natural_cur,svc,classical,ood_novelty_ratio,label_free,45,-0.08754779315133372,0.35555555555555557
unsw_recon_natural_cur,svc,classical,spec_train_eff_rank,honest,45,0.22564875608542034,0.7111111111111111
unsw_recon_natural_cur,svc,quantum,kta_drop_id_to_ood,diagnostic,45,0.09473684210526315,0.6888888888888889
unsw_recon_natural_cur,svc,quantum,kta_id,honest,45,0.13383458646616542,0.6222222222222222
unsw_recon_natural_cur,svc,quantum,kta_ood,diagnostic,45,-0.06766917293233082,0.4666666666666667
unsw_recon_natural_cur,svc,quantum,kta_train,honest,45,0.11278195488721804,0.5777777777777777
unsw_recon_natural_cur,svc,quantum,ood_novelty_ratio,label_free,45,0.20458820551744777,0.8666666666666667
unsw_recon_natural_cur,svc,quantum,spec_train_eff_rank,honest,45,-0.13967655343888707,0.3333333333333333
