setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,svc,0.8298808557717554,0.019294383570386497,0.904164020797312,15,0.837534753803124,5,0.837534753803124,zmap_r2__svc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.829475331220829,0.009017085719703088,0.9048783442652601,15,0.8312724396158307,5,0.8312724396158306,zmap_r2__gpc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,svc,0.8249128067529237,0.008367687087104286,0.9061991660857878,15,0.8264995885490451,5,0.8288705182340862,zmap_r2__svc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q1000_id500_ood500,gpc,0.776293138320711,0.013724516332083873,0.9007024788346107,15,0.788857586869738,5,0.797169574574656,zz_r2_full__gpc__d6,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q1000_id500_ood500,svc,0.7775742215518735,0.01606031903913487,0.9004670165775058,15,0.7919038249710751,5,0.8001432375393811,zz_r2_full__svc__d6,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.7957962168908372,0.015278919583111073,0.9034525961510312,15,0.8006436026781621,5,0.8061964665099108,zz_r2_full__gpc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q2000_id1000_ood1000,svc,0.799083051264274,0.013243967244285814,0.9057332253546821,15,0.8089487205525321,5,0.8089487205525321,zz_r2_full__svc__d10,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.8165484884012709,0.010610846755465832,0.9087929006239004,15,0.82231612250687,5,0.82231612250687,zz_r2_full__gpc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms999__q4000_id1800_ood1800,svc,0.8227133462012143,0.01773595116804566,0.9109867296929249,15,0.8264050974879552,5,0.8264050974879551,zz_r1_full__svc__d12,quantum,20,unsw_dos_natural_cur
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,gpc,0.9028396491855106,0.014708372803171835,0.9038682559714258,15,0.9186529798905131,5,0.9258787698777712,zmap_r2__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,svc,0.9198612416885459,0.022017929506703164,0.903784861878839,15,0.9359200401543901,5,0.9420739848265214,pauli_xz_r1_full__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms123__q2000_id1000_ood1000,gpc,0.9088952004595305,0.027535952811658507,0.8935337603166424,15,0.9464148831739934,5,0.9464148831739932,zmap_r2__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9247170674822062,0.01673210226114071,0.8911011208168303,15,0.945593643927588,5,0.947882605515635,pauli_xz_r1_full__svc__d12,quantum,20,unsw_recon_m2_centroid
