setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7874011057569257,0.012733732594309308,0.7777637863018361,15,0.7866529318558121,5,0.7874999308107999,laplacian_med__svc__d12,classical_ext,35,ember_m2
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7409928940617742,0.018939601240988552,0.7445415649144907,15,0.7388313800297566,5,0.7388313800297566,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7275321280680503,0.027490241153732917,0.734740745427992,15,0.7292034478747931,5,0.7292034478747932,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7568808909433578,0.015524830729478781,0.7375909407733658,15,0.7503461994192371,5,0.7568808909433578,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7390967926707901,0.024906007499058188,0.7162148196255322,15,0.7463760801940181,5,0.7463760801940182,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7515796594930955,0.03503831723136961,0.7348335491644278,15,0.754276330384258,5,0.7542763303842579,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7375236805148744,0.03483959638414319,0.7121632326803184,15,0.7411254238922044,5,0.7411254238922044,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7193054610042867,0.02501131171501524,0.7280117860948667,15,0.6866034647528005,5,0.7216725146959924,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.6944518089386856,0.06252560210234706,0.7170526172946621,15,0.7118130294578696,5,0.7219665898492166,rbf_gscale__svc__d8,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7508685950831222,0.028868828472477334,0.7255268979794651,15,0.7532691298240586,5,0.7532691298240586,rbf_gscale__gpc__d10,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7032904354093308,0.057284725296781865,0.7034760097458204,15,0.6748318595713234,5,0.7088588822355955,rbf_gscale__svc__d8,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7625840166480706,0.012383421863435908,0.7385859464211212,15,0.7619612167993285,5,0.7637135977517093,rbf_gscale__gpc__d10,classical_orig,10,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7504386222652507,0.020565301476637526,0.7193224782996164,15,0.7467537383008426,5,0.7486786659177117,rbf_gscale__svc__d10,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7366747322920896,0.03169697649303712,0.7382978063785756,15,0.7393709536933469,5,0.739370953693347,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7331148930993135,0.01393668453914335,0.7208949466122004,15,0.7369777487607304,5,0.7369777487607304,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.751483547123777,0.009203765960344869,0.7347724101996814,15,0.7540760415267616,5,0.7540760415267616,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7479300942908806,0.019194138672132714,0.722996695877302,15,0.7504102265880555,5,0.7504102265880555,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7613060471640132,0.011760915419698306,0.7348042028808799,15,0.7629243067355482,5,0.7629243067355483,rbf_gscale__gpc__d12,classical_orig,10,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7604810202448896,0.027118174502593646,0.7280578607716205,15,0.7631964437763622,5,0.7631964437763621,rbf_gscale__svc__d12,classical_orig,10,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7306766507039651,0.02486738375344529,0.7206674292872179,15,0.7326053218635094,5,0.7326053218635094,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7147744442585472,0.026666333352780656,0.7119027477348701,15,0.7144871351621758,5,0.7217299377432571,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7399627911745328,0.032642167333501865,0.7317332711063095,15,0.7487709344168377,5,0.7487709344168377,rbf_gscale__gpc__d10,classical_orig,10,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7174412111035449,0.04228298243025186,0.7161006609502167,15,0.734780231776115,5,0.734780231776115,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7383785411285069,0.02118890450889016,0.731825180843971,15,0.7561928277414552,5,0.7561928277414555,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.736478998290892,0.036943187636989325,0.7130930692782526,15,0.7440703798770515,5,0.7440703798770515,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7188416873184892,0.010278857951092275,0.7272394862040504,15,0.7232476341765597,5,0.7232476341765597,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7184214960546692,0.011743994259535602,0.7171233419754651,15,0.7196295913926587,5,0.7196295913926587,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7371292530958856,0.020633268377850702,0.7295939523334372,15,0.7437320368329691,5,0.7437320368329691,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7335116942244859,0.025542621005152907,0.7176853754763218,15,0.7415683642936806,5,0.7415683642936806,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7257979214973767,0.020217643085148732,0.7248082753827778,15,0.7340985649980202,5,0.7340985649980202,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7250748115222199,0.01841663021334891,0.7196784777987985,15,0.7252077285881529,5,0.725207728588153,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7104691164093173,0.03531903090168643,0.7216987101123327,15,0.7282957290688296,5,0.7282957290688294,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.698449791820607,0.035952342894657104,0.7095663480735391,15,0.7063205011861842,5,0.7063205011861842,rbf_gscale__svc__d10,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7381113010777774,0.025922723909418407,0.7179395690749238,15,0.737735268562855,5,0.7377352685628549,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7244749763340982,0.03288147233005621,0.7023983688699817,15,0.7229169159446361,5,0.724120966370268,rbf_gscale__svc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7293470285735232,0.022245086485806927,0.722092343224451,15,0.7316254292405031,5,0.7316254292405032,rbf_gscale__gpc__d12,classical_orig,10,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7280255358042651,0.03284273231039738,0.7155823788417273,15,0.7275487721181431,5,0.7275487721181431,rbf_gscale__svc__d12,classical_orig,10,ember_m2
