variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,10,zz_r2_full__d10,15,0.04664232406719439,0.007432037668106455
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,12,zz_r2_full__d12,15,0.0549962696300069,0.01231593835833697
m1_hist_byteent,123,size_q1000_id500_ood500,classical,6,linear,15,-0.021710166904783113,0.022960192904982534
m1_hist_byteent,123,size_q1000_id500_ood500,classical,4,linear,15,-0.0030394304474531397,0.03135866179604796
m1_hist_byteent,123,size_q1000_id500_ood500,classical,12,rbf_gscale,15,0.003902029273809937,0.03218942831815753
m1_hist_byteent,123,size_q1000_id500_ood500,classical,8,rbf_gscale,15,0.005113276769665287,0.03449958498996863
m1_hist_byteent,123,size_q1000_id500_ood500,classical,12,linear,15,0.016356719003442585,0.06887039232101197
m1_hist_byteent,123,size_q1000_id500_ood500,classical,10,rbf_gscale,15,0.017720395504068166,0.027910810690157706
m1_hist_byteent,123,size_q1000_id500_ood500,classical,10,linear,15,0.02069651836091484,0.07486780895607173
m1_hist_byteent,123,size_q1000_id500_ood500,classical,4,rbf_gscale,15,0.030904810569819353,0.08623896292941122
m1_hist_byteent,123,size_q1000_id500_ood500,classical,6,rbf_gscale,15,0.03709534988391869,0.08449198602839365
m1_hist_byteent,123,size_q1000_id500_ood500,classical,8,linear,15,0.041353117567370444,0.06022665100036977
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,4,zz_r1_full__d4,15,-0.004727471613962253,0.02100118520544062
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,10,pauli_xz_r1_full__d10,15,0.00171762648290803,0.03259613705690041
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,8,zmap_r2__d8,15,0.0028168874671270715,0.03905689617092457
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,6,zmap_r2__d6,15,0.004799184136954282,0.03716932043705612
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,8,pauli_xz_r1_full__d8,15,0.005972138253329406,0.03591402779906532
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,12,pauli_xz_r1_full__d12,15,0.008264431185649901,0.035782771542780846
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,4,zz_r2_full__d4,15,0.008482118778924375,0.025228023621518155
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,6,zz_r1_full__d6,15,0.013643943591945354,0.04543412991513546
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,8,zz_r1_full__d8,15,0.01420449086799569,0.04063559833009603
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,10,zmap_r2__d10,15,0.017779220793734632,0.036937530511706
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,12,zmap_r2__d12,15,0.02085057452732353,0.03464866354917389
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,4,pauli_xz_r1_full__d4,15,0.02825065527480297,0.06266928489071472
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,4,zmap_r2__d4,15,0.029631721135386525,0.064875483035828
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,6,pauli_xz_r1_full__d6,15,0.03595677722714965,0.07258706155026423
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,10,zz_r1_full__d10,15,0.03897860340014385,0.05657352395169299
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,8,zz_r2_full__d8,15,0.042243641760214855,0.057711231546310394
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,6,zz_r2_full__d6,15,0.042333524247116984,0.05670194478803186
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,12,zz_r1_full__d12,15,0.04411412300257707,0.05718483249827403
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,10,zz_r2_full__d10,15,0.05796525442671128,0.06226880229701001
m1_hist_byteent,123,size_q1000_id500_ood500,quantum,12,zz_r2_full__d12,15,0.08516744301641796,0.050466192881611555
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,6,linear,15,-0.03127121818851986,0.022108536503852288
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,12,rbf_gscale,15,-0.030628552157637556,0.02304813575713301
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,4,linear,15,-0.02886444176565172,0.03217670579696829
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,10,rbf_gscale,15,-0.023743971704933076,0.017249927142753314
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,12,linear,15,-0.021577499719043703,0.015007650884012753
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,8,linear,15,-0.021117025137544366,0.014854088398639541
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,10,linear,15,-0.021101744095247475,0.01930110073121679
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,8,rbf_gscale,15,-0.017178055636289137,0.02258480697806769
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,6,rbf_gscale,15,-0.016903763402117012,0.017793047728739558
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,4,rbf_gscale,15,-0.01148214223888735,0.012073513662153998
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,6,pauli_xz_r1_full__d6,15,-0.009435212834262512,0.01667708196559145
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,6,zmap_r2__d6,15,-0.005324327886893328,0.021828629520251382
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,6,zz_r1_full__d6,15,0.018018213183024524,0.03681298256348859
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,4,zz_r2_full__d4,15,0.01866359915687527,0.031024652454978756
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,12,zmap_r2__d12,15,0.01999081108131797,0.023201339912019028
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,8,pauli_xz_r1_full__d8,15,0.02539260211344602,0.057946822784985336
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,4,zmap_r2__d4,15,0.026364955249165913,0.05465365613814807
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,8,zz_r1_full__d8,15,0.029061912675752453,0.029727285544876376
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,6,zz_r2_full__d6,15,0.0336648797164276,0.03984918507080562
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,10,zz_r1_full__d10,15,0.035905727853253036,0.025227073114662383
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,8,zmap_r2__d8,15,0.03641147970266208,0.05579334939768146
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,10,pauli_xz_r1_full__d10,15,0.03925108777585206,0.0650656493792423
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,4,zz_r1_full__d4,15,0.041369093473214553,0.05969388712417424
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,12,zz_r1_full__d12,15,0.04284722510051028,0.02851418748491293
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,12,pauli_xz_r1_full__d12,15,0.04320373701625617,0.06373164633561607
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,10,zmap_r2__d10,15,0.04596120683077298,0.06105679822735712
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,8,zz_r2_full__d8,15,0.048178679130974664,0.03130356196274829
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,10,zz_r2_full__d10,15,0.050403158579260414,0.026016612580564334
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,12,zz_r2_full__d12,15,0.06759251766589693,0.028689704188647417
m1_hist_byteent,123,size_q2000_id1000_ood1000,quantum,4,pauli_xz_r1_full__d4,15,0.07080529207726262,0.07945388450691392
