group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,42,svc,0.6115545114525054,0.7256993601434267,-0.11414484869092134,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,123,svc,0.6115545114525054,0.7261908441779235,-0.11463633272541807,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,999,svc,0.6115545114525054,0.7261908441779235,-0.11463633272541807,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,42,svc,0.7095714298061809,0.7432573260943919,-0.03368589628821095,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,123,svc,0.7095714298061809,0.7438061735148089,-0.034234743708628,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,999,svc,0.7095714298061809,0.7432573260943919,-0.03368589628821095,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,42,svc,0.745915057915058,0.6289575289575289,0.11695752895752909,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,123,svc,0.745915057915058,0.6294980694980694,0.11641698841698855,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,svc,0.745915057915058,0.6284169884169883,0.11749806949806962,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,42,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,123,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,999,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,42,svc,0.7349513319672132,0.7263703893442623,0.008580942622950838,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,123,svc,0.7349513319672132,0.7263703893442623,0.008580942622950838,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,999,svc,0.7349513319672132,0.7263703893442623,0.008580942622950838,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,42,svc,0.7045443627804198,0.7424060463403308,-0.03786168355991104,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,123,svc,0.7045443627804198,0.7424060463403308,-0.03786168355991104,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,999,svc,0.7045443627804198,0.7424060463403308,-0.03786168355991104,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,42,svc,0.7303778598742627,0.7128135329574179,0.01756432691684484,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,123,svc,0.7303778598742627,0.7128135329574179,0.01756432691684484,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,999,svc,0.7321764210253419,0.7128135329574179,0.019362888067923967,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835,115,60
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,0.7568761313057124,0.7410549087129101,0.015821222592802275,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,0.7568761313057124,0.7410549087129101,0.015821222592802275,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,0.7568761313057124,0.7401097291287893,0.016766402176923156,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,0.6933262711864407,0.7621822033898304,-0.0688559322033897,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,svc,0.6933262711864407,0.7621822033898304,-0.0688559322033897,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,0.6933262711864407,0.7621822033898304,-0.0688559322033897,115,60
