group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
unsw_recon_natural_cur,svc,uniform,60,5000,9,0.8112129306630207,0.8059814595627801,0.0052314711002406,0.001559413245306947,0.008851112962944399,0.0026,0.005302575335510817,id_val,20260715
unsw_recon_natural_cur,svc,kernel_stratified,60,5000,9,0.8112129306630207,0.8060591330496689,0.005153797613351866,0.0016367270504412616,0.008776755512500891,0.0028,0.005302575335510817,id_val,20260715
unsw_recon_natural_cur,svc,kernel_blocked,60,5000,9,0.8112129306630207,0.8062452930513965,0.004967637611624381,0.0016153785711024373,0.008194020520234458,0.001,0.005302575335510817,id_val,20260715
ember_m1,gpc,uniform,60,5000,9,0.7440573015470662,0.7449638311718298,-0.0009065296247636066,-0.005259368108161365,0.0031183529839641025,0.705,-0.0002609609388654066,id_val,20260715
ember_m1,gpc,kernel_stratified,60,5000,9,0.7440573015470662,0.7454052396114736,-0.001347938064407386,-0.004807241658385007,0.003005462555467323,0.7476,-0.0002609609388654066,id_val,20260715
ember_m1,gpc,kernel_blocked,60,5000,9,0.7440573015470662,0.7444245668341714,-0.0003672652871050798,-0.010204420753837897,0.005316503493705479,0.659,-0.0002609609388654066,id_val,20260715
ember_m2,gpc,uniform,60,5000,9,0.7792421545135502,0.7784624620263104,0.0007796924872398273,-0.001544227566054791,0.006127023662905375,0.3586,4.081976570791124e-05,id_val,20260715
ember_m2,gpc,kernel_stratified,60,5000,9,0.7792421545135502,0.7787523322327953,0.0004898222807549232,-0.0016015846720658536,0.004926957241218142,0.402,4.081976570791124e-05,id_val,20260715
ember_m2,gpc,kernel_blocked,60,5000,9,0.7792421545135502,0.778547340905345,0.0006948136082051385,-0.0018678974161519596,0.009547737167378703,0.329,4.081976570791124e-05,id_val,20260715
toniot_scanning_m2_centroid,gpc,uniform,60,5000,9,0.954618555001436,0.948361277789931,0.00625727721150501,0.0012410550743329402,0.012861162256261967,0.0022,0.007140621390143487,id_val,20260715
toniot_scanning_m2_centroid,gpc,kernel_stratified,60,5000,9,0.954618555001436,0.9488766967472322,0.005741858254203794,0.0019951590093433844,0.010236216817845091,0.0004,0.007140621390143487,id_val,20260715
toniot_scanning_m2_centroid,gpc,kernel_blocked,60,5000,9,0.954618555001436,0.9453520038973006,0.009266551104135545,0.0014171544064624324,0.03887643682695809,0.0,0.007140621390143487,id_val,20260715
toniot_scanning_natural_cur,gpc,uniform,60,5000,9,0.9792618455837212,0.9886258500201732,-0.009364004436451887,-0.010065473813946646,-0.008573995906857857,1.0,-0.009771712695938795,id_val,20260715
