group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,0.0006189543458134938,-0.0014086951210577903,0.0035149454334337804,0.4162
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_blocked,60,0.004209671756728484,-0.002075247953253645,0.009876842926923701,0.1534
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,0.001246381463459123,-0.002286712058707896,0.004681355932390829,0.321
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.005535481940752929,-0.0069179878905555325,-0.0038995267560730795,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_blocked,60,-0.007002712287762725,-0.010415501569393415,-0.002405875838484839,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.0004507061837151216,-0.003437801926485906,0.0016238558985471885,0.6544
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,0.0028779598095767245,-0.001257183118845706,0.005237115162012307,0.1112
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,uniform,60,-0.008241273397128879,-0.012716644517237086,-0.00334278353764883,0.9986
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.012879804920387539,-0.02043861771683326,0.0010834021290614527,0.9664
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.010143505875118253,-0.042096374790825564,0.010411807748139101,0.7752
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,uniform,60,0.007899056324675358,-0.006274634402517587,0.020759839417558868,0.194
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.011047749104454274,-0.017194748868458398,0.0002996660286878742,0.9746
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,uniform,60,0.005089335948275098,-0.018350311267138486,0.022597662783918504,0.4114
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,uniform,60,0.004202203574421026,-0.01214760631151035,0.04547176080231141,0.4044
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.026792167859993277,-0.04949821822556256,-0.00614701115888833,0.9956
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.07982493399956414,-0.09373988776838593,-0.055754987721372794,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.007800508022153041,-0.012705487005043481,-0.0029362794726082164,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.009779455626762745,-0.01575761789844088,-0.0012421337813365296,0.9814
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.010650375289550706,-0.04209757853168172,0.008096354518036364,0.841
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,kernel_stratified,60,0.007490988027666012,-0.007040658618277185,0.013201421193660856,0.1388
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.0069833844468436546,-0.014042911518241663,-0.0013912679585188492,0.9864
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,0.004980073316712352,-0.017149671135577305,0.021744087815625892,0.4236
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,kernel_stratified,60,0.004202203574421026,-0.007979145562877266,0.03018448400585405,0.2386
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.022645442286926443,-0.04425193283420403,-0.005588302978514537,0.9994
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.0788334507595495,-0.09397851004468427,-0.06383566203756158,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.008228470119489906,-0.012703841239598113,-0.0029362794726082164,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.0149032086605283,-0.021405426060762123,-0.00787604159902717,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.006695915128648977,-0.039914528170334695,0.007398702513735866,0.8682
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,kernel_blocked,60,0.004977398416685208,-0.0058664815166024065,0.013974032419187266,0.3454
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.006544361230106044,-0.015009026363176803,0.020117144347024274,0.7422
