setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_dos__natural_cur__ms123__q1000_id500_ood500,999,999,unsw_dos_natural_cur,0.851154566257541,0.8356117168872317,0.015542849370309364,0.8214622905698421,0.8206193035797155,0.0008429869901266374,0.0008429869901266374,-0.014699862380182727,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,2024,42,unsw_dos_natural_cur,0.8213971423542776,0.8364057856925712,-0.015008643338293548,0.8495895934334949,0.8350852701643228,0.01450432326917217,0.01450432326917217,0.029512966607465718,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,2024,123,unsw_dos_natural_cur,0.8213971423542776,0.8364057856925712,-0.015008643338293548,0.8495895934334949,0.8350852701643228,0.01450432326917217,0.01450432326917217,0.029512966607465718,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,2024,999,unsw_dos_natural_cur,0.8213971423542776,0.8364057856925712,-0.015008643338293548,0.8495895934334949,0.8350852701643228,0.01450432326917217,0.01450432326917217,0.029512966607465718,123,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,7,42,unsw_dos_natural_cur,0.8071991711320847,0.8159846287092649,-0.008785457577180189,0.8182966116786194,0.8184788978646939,-0.0001822861860744096,-0.0001822861860744096,0.00860317139110578,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,7,123,unsw_dos_natural_cur,0.8071991711320847,0.815521451813958,-0.00832228068187324,0.8182966116786194,0.8184788978646939,-0.0001822861860744096,-0.0001822861860744096,0.00813999449579883,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,7,999,unsw_dos_natural_cur,0.8071991711320847,0.815521451813958,-0.00832228068187324,0.8182966116786194,0.8184788978646939,-0.0001822861860744096,-0.0001822861860744096,0.00813999449579883,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,42,42,unsw_dos_natural_cur,0.8357371794871795,0.8536805769230766,-0.017943397435897124,0.8365384615384615,0.8532774679487178,-0.016739006410256385,-0.016739006410256385,0.0012043910256407386,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,42,123,unsw_dos_natural_cur,0.8357371794871795,0.8536805769230766,-0.017943397435897124,0.8365384615384615,0.8532774679487178,-0.016739006410256385,-0.016739006410256385,0.0012043910256407386,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,42,999,unsw_dos_natural_cur,0.8357371794871795,0.8536805769230766,-0.017943397435897124,0.8365384615384615,0.8532774679487178,-0.016739006410256385,-0.016739006410256385,0.0012043910256407386,42,1000,unsw
