regularization,selection,reference,budget_mode,group,qs,cluster_effect
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,123,0.033881254307254006
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,999,0.03259509210472893
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,2024,0.013930463200948063
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,7,-0.0018832102438989622
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,42,0.003946857312543369
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,123,0.0019685039370078337
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,999,0.005021066262168768
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,2024,0.010434575803260718
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,7,0.019562825764438647
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,42,0.009241307262782087
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,123,0.01199625843256876
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,999,0.009939288653053565
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,2024,0.011768302772122449
fixed_c1,ood_test,extended,equal_count,ember_m1,7,-0.0034597620279542946
fixed_c1,ood_test,extended,equal_count,ember_m1,42,-0.0006481543146629928
fixed_c1,ood_test,extended,equal_count,ember_m1,123,-0.007630597321633441
fixed_c1,ood_test,extended,equal_count,ember_m1,999,0.00103219226420665
fixed_c1,ood_test,extended,equal_count,ember_m1,2024,0.011877838005431074
fixed_c1,ood_test,extended,equal_count,ember_m2,7,0.0001451990419954289
fixed_c1,ood_test,extended,equal_count,ember_m2,42,0.006598046875000059
fixed_c1,ood_test,extended,equal_count,ember_m2,123,-0.006326287809642876
fixed_c1,ood_test,extended,equal_count,ember_m2,999,0.0009570689394430781
fixed_c1,ood_test,extended,equal_count,ember_m2,2024,-0.00013323711163863253
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,7,0.005227319470570017
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,42,0.003383439623798945
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,123,-0.0037999237586057166
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,999,0.004612469185512354
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,2024,0.0011372643630375033
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,7,0.0010665367043352452
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,42,0.0004243394678948853
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,123,-0.0005331175744098804
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,999,0.0008837361010331687
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,2024,0.0010191504955269215
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,7,0.0036961148899737153
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,42,7.466480446779074e-05
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,123,-0.0022149575799380226
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,999,0.003693991242117963
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,2024,0.0023006060127745975
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,7,0.019318167214858573
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,42,0.003003293790660148
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,123,0.013893684069743636
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,999,0.023761078955532266
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,2024,0.0070334430702408
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,7,-0.0024633933752888915
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,42,-0.00015231364807832826
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,123,0.003814429293899265
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,999,0.0002654357731513013
