run,dataset,dim,scope,n_kernels,rho_rank_ktaood,rho_rank_survival
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,6,all,23,0.9397233201581027,0.5059288537549407
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,6,classical_only,19,0.9315789473684211,0.443859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,8,all,23,0.9703557312252965,0.8023715415019764
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,8,classical_only,19,0.9649122807017543,0.7350877192982455
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,10,all,23,0.9772727272727272,0.882411067193676
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,10,classical_only,19,0.9771929824561404,0.8070175438596491
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,12,all,23,0.958498023715415,0.9644268774703558
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,12,classical_only,19,0.9824561403508772,0.9912280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,12,all,23,0.8478260869565217,0.5741106719367589
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,12,all,23,0.8478260869565217,0.5741106719367589
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,12,all,23,0.8478260869565217,0.5741106719367589
