case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,50,-0.436,-0.46,-0.408,0.006,-0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,75,-0.38,-0.416,-0.352,0.004,-0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,100,-0.328,-0.3641,-0.296,0.002,-0.002049999999999999,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,150,-0.224,-0.268,-0.1959,0.002,-0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,200,-0.12,-0.16205,-0.08594999999999998,0.0,-0.008,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,300,-0.012,-0.024,-0.012,-0.004,-0.012,0.004
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,400,-0.012,-0.014,-0.012,-0.008,-0.012,0.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,500,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,0,-0.342,-0.342,-0.342,0.076,0.076,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,5,-0.334,-0.342,-0.326,0.076,0.068,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,10,-0.33,-0.342,-0.314,0.072,0.0679,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,20,-0.316,-0.3301,-0.30189999999999995,0.072,0.06,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,30,-0.302,-0.3181,-0.282,0.068,0.06,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,40,-0.29,-0.31,-0.266,0.068,0.056,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,50,-0.278,-0.298,-0.254,0.064,0.052,0.076
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,75,-0.246,-0.278,-0.214,0.056,0.0439,0.068
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,100,-0.214,-0.2422,-0.178,0.052,0.0359,0.068
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,150,-0.146,-0.186,-0.106,0.04,0.0199,0.05605000000000001
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,200,-0.086,-0.122,-0.064,0.028,0.004,0.044
