group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,svc,0.7728877760657422,0.7664355418592707,0.006452234206471563
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,0.7728877760657422,0.7664355418592707,0.006452234206471563
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,0.7814882439618169,0.7834902940611186,-0.0020020500993016555
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,0.7814882439618169,0.7834902940611186,-0.0020020500993016555
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,0.7814882439618169,0.7834902940611186,-0.0020020500993016555
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,0.7545195433219645,0.7620014091047381,-0.007481865782773656
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,0.7545195433219645,0.7620014091047381,-0.007481865782773656
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,0.7545195433219645,0.7620014091047381,-0.007481865782773656
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,0.7545481189813401,0.7539384465844124,0.000609672396927663
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,0.7543811701505384,0.7528712107252875,0.0015099594252508952
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,0.7545481189813401,0.7528712107252875,0.0016769082560526005
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,0.756322726010062,0.761702521682768,-0.005379795672705967
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,0.756322726010062,0.761702521682768,-0.005379795672705967
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,0.756322726010062,0.761702521682768,-0.005379795672705967
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,0.7634972643813174,0.7589657197613675,0.004531544619949868
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,0.7634972643813174,0.7590089950851597,0.004488269296157643
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,0.7634972643813174,0.7584309604030788,0.0050663039782385955
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,0.7610785067892858,0.7590812948600965,0.0019972119291893353
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,0.7610785067892858,0.7585324474396793,0.0025460593496065
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,0.7610785067892858,0.7585324474396793,0.0025460593496065
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,0.7624864864864864,0.7868725868725869,-0.02438610038610045
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,0.7624864864864864,0.7868725868725869,-0.02438610038610045
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,0.7624864864864864,0.7868725868725869,-0.02438610038610045
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.761989726520619,0.7621337472596054,-0.00014402073898633905
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.761989726520619,0.7621337472596054,-0.00014402073898633905
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.761989726520619,0.7621337472596054,-0.00014402073898633905
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.781922387295082,0.7880699282786885,-0.006147540983606481
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.781922387295082,0.7880699282786885,-0.006147540983606481
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.781922387295082,0.7880699282786885,-0.006147540983606481
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.7769851563625882,0.7902675697747034,-0.013282413412115113
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.7769851563625882,0.7902675697747034,-0.013282413412115113
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.7769851563625882,0.7902675697747034,-0.013282413412115113
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.8141000712943159,0.8159310389526218,-0.0018309676583058154
