group,model,family,budget,e_p1_ood,p2.5,p97.5
unsw_recon_m2_centroid,svc,classical_ext,30,0.9247848037087345,0.9143117049256475,0.9287145548478751
unsw_recon_m2_centroid,svc,quantum,5,0.9143052252127524,0.8975621841741224,0.9294347036046506
unsw_recon_m2_centroid,svc,quantum,10,0.9142571596382945,0.9040979462373403,0.9249227728095462
unsw_recon_m2_centroid,svc,quantum,20,0.9138559325150569,0.9138559325150568,0.9138559325150568
unsw_recon_natural_cur,svc,classical_ext,5,0.7846054316834894,0.7566774860540331,0.8027985294390385
unsw_recon_natural_cur,svc,classical_ext,10,0.7905386458977472,0.773531410614676,0.8017457881300122
unsw_recon_natural_cur,svc,classical_ext,20,0.7945513552506508,0.7824856407420114,0.8016206090395169
unsw_recon_natural_cur,svc,classical_ext,30,0.7962514950565015,0.7871273766169903,0.8016033994821745
unsw_recon_natural_cur,svc,classical_ext,40,0.7974039461574878,0.7909987823541241,0.8019382032425741
unsw_recon_natural_cur,svc,classical_ext,50,0.7979781741927423,0.7926627230884588,0.8022358600021694
unsw_recon_natural_cur,svc,classical_ext,60,0.7983412638654939,0.7940856935848557,0.8020954204098564
unsw_recon_natural_cur,svc,classical_ext,115,0.7982860108897876,,
unsw_recon_natural_cur,svc,quantum,5,0.7855230375019628,0.7688009640901426,0.7994785342171044
unsw_recon_natural_cur,svc,quantum,10,0.7890260731737397,0.7776964203188198,0.7987126183612279
unsw_recon_natural_cur,svc,quantum,20,0.7919943112987733,0.7842201900248139,0.7985804784441252
unsw_recon_natural_cur,svc,quantum,30,0.7936026838711673,0.7877332139318916,0.7986758646517294
unsw_recon_natural_cur,svc,quantum,40,0.7944961347915738,0.7898766049082869,0.7983514250376073
unsw_recon_natural_cur,svc,quantum,50,0.7950399430585646,0.7917601390773202,0.7974891104943563
unsw_recon_natural_cur,svc,quantum,60,0.7952365157052604,0.7948079551239848,0.7956659382724668
ember_m1,gpc,classical_ext,5,0.744386352472297,0.7118148898096979,0.757338610728211
ember_m1,gpc,classical_ext,10,0.7461826079632369,0.7356187786238866,0.7567614208667675
ember_m1,gpc,classical_ext,20,0.7459859859196322,0.7380421475460147,0.7555277944644903
ember_m1,gpc,classical_ext,30,0.7459126785450322,0.7397807890148878,0.7539927482849902
ember_m1,gpc,classical_ext,40,0.7459770073065938,0.7408414815769168,0.7531169642160088
ember_m1,gpc,classical_ext,50,0.7460102521119693,0.7421592316001857,0.7513687335213008
ember_m1,gpc,classical_ext,60,0.746106114732047,0.7428812900448629,0.7502865723105987
ember_m1,gpc,classical_ext,115,0.7470851105152458,,
ember_m1,gpc,quantum,5,0.7461654416534218,0.7318638980372937,0.755139324566029
ember_m1,gpc,quantum,10,0.7466949721609404,0.7344561366931256,0.754459964111119
ember_m1,gpc,quantum,20,0.7460539735672125,0.7365990430768088,0.7537414803264156
ember_m1,gpc,quantum,30,0.7452438028200851,0.7380043462037914,0.753235426911207
ember_m1,gpc,quantum,40,0.744583136919009,0.7391949555988143,0.7524953069340945
ember_m1,gpc,quantum,50,0.7440440403087091,0.740499259633891,0.75034320002192
ember_m1,gpc,quantum,60,0.7436426049727564,0.743620197636684,0.7436662085937118
ember_m2,gpc,classical_ext,5,0.7676707455407442,0.7226374607689813,0.7821534382918074
ember_m2,gpc,classical_ext,10,0.7731046985644644,0.7607639408691704,0.7823068673803392
ember_m2,gpc,classical_ext,20,0.7751888099128478,0.7683324965056514,0.7818925261276781
ember_m2,gpc,classical_ext,30,0.7761459113361692,0.7703330811329215,0.7816191861800349
ember_m2,gpc,classical_ext,40,0.7768277419559392,0.7713446603114626,0.7813137837156547
ember_m2,gpc,classical_ext,50,0.7775457741897794,0.7721635887764554,0.7812424095982247
ember_m2,gpc,classical_ext,60,0.7779726841737686,0.7724208462450818,0.7810995949708588
ember_m2,gpc,classical_ext,115,0.78037791091042,,
ember_m2,gpc,quantum,5,0.7743695757982789,0.7518814594927523,0.7850767226954378
ember_m2,gpc,quantum,10,0.7786114542767725,0.7652618561404244,0.7850507564841871
ember_m2,gpc,quantum,20,0.7805049931291544,0.774467322763105,0.7840521489291027
ember_m2,gpc,quantum,30,0.7810063268500957,0.7770934329741449,0.7833615574960622
ember_m2,gpc,quantum,40,0.7811752278629039,0.7784590880650445,0.7827071208421147
ember_m2,gpc,quantum,50,0.7813200267727488,0.7797308754748778,0.7821999639424027
ember_m2,gpc,quantum,60,0.7814106805472878,0.7813201722252,0.7814990424269534
toniot_scanning_m2_centroid,gpc,classical_ext,5,0.8910811791641674,0.7973111573944993,0.9193548622884069
toniot_scanning_m2_centroid,gpc,classical_ext,10,0.9046332933499808,0.8565599796198519,0.9198836798752842
toniot_scanning_m2_centroid,gpc,classical_ext,20,0.9135176891329263,0.8981805242352321,0.919903329477061
toniot_scanning_m2_centroid,gpc,classical_ext,30,0.9148019451958519,0.9108340584985132,0.9187582599279772
toniot_scanning_m2_centroid,gpc,quantum,5,0.9525846108076029,0.9189937001845234,0.9586664975862068
toniot_scanning_m2_centroid,gpc,quantum,10,0.9551294444887427,0.9512217194199585,0.9576342584700215
toniot_scanning_m2_centroid,gpc,quantum,20,0.9555889222899653,0.954760516577034,0.9563732052120348
toniot_scanning_natural_cur,gpc,classical_ext,5,0.9766171349780194,0.9023372482193485,0.9896408887616175
toniot_scanning_natural_cur,gpc,classical_ext,10,0.9858619987901128,0.9720201388029622,0.98956358016756
toniot_scanning_natural_cur,gpc,classical_ext,20,0.9879162098570378,0.983312669875173,0.9895761945957068
toniot_scanning_natural_cur,gpc,classical_ext,30,0.9883116265149394,0.9861298958371512,0.9895012390638174
toniot_scanning_natural_cur,gpc,classical_ext,40,0.9884226367697484,0.987131189021781,0.9894139531328949
toniot_scanning_natural_cur,gpc,classical_ext,50,0.988467769865519,0.987498916846495,0.9893418197285233
toniot_scanning_natural_cur,gpc,classical_ext,60,0.9884576033924,0.9876440474560849,0.9892323595074458
toniot_scanning_natural_cur,gpc,classical_ext,115,0.9887494305805645,,
toniot_scanning_natural_cur,gpc,quantum,5,0.9772884781930669,0.9491451870036094,0.9891264985326982
toniot_scanning_natural_cur,gpc,quantum,10,0.9788804302276782,0.9615105145340445,0.9881475880008334
toniot_scanning_natural_cur,gpc,quantum,20,0.9794084058743276,0.9694996553139423,0.9857620735725676
toniot_scanning_natural_cur,gpc,quantum,30,0.9795753943863228,0.972783352139784,0.9839843047334068
toniot_scanning_natural_cur,gpc,quantum,40,0.9796721748759281,0.9739900267561955,0.9833277888526842
toniot_scanning_natural_cur,gpc,quantum,50,0.9800137809672977,0.9753885702010737,0.9825591845702678
toniot_scanning_natural_cur,gpc,quantum,60,0.9805428370420584,0.9794856015461741,0.9816237014278629
