group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_blocked,20,0.07944706464169471,0.014645690281846035,0.21232241834890553,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_blocked,20,0.006714086914871298,0.0009262564058510891,0.2003057256455324,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_blocked,20,0.0036905881303092025,0.0036905881303092025,0.14862815744224533,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_blocked,20,0.04206194999076174,0.014908196478116142,0.18812476693477242,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_blocked,20,0.010278504320593962,0.010278504320593962,0.15464093884560393,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_blocked,20,0.0027112362219551267,0.0027112362219551267,0.16703236135959165,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_blocked,20,0.05956528546505446,0.03632476145481778,0.1402271357028546,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_blocked,20,0.007763564345309892,0.007763564345309892,0.11828467394436226,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_blocked,20,0.003495264629760131,0.003495264629760131,0.17408405395233628,0.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,uniform,60,-0.01656633875760538,-0.017355296462003067,-0.015759559206864227,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.028132839146948307,-0.02893953182496367,-0.027137435204098503,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.07026194905138156,-0.07055857528454157,-0.06760864281432344,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,uniform,60,-0.04663093794749473,-0.04859636609710105,-0.04387056049832061,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.02340653673055948,-0.024016294507451907,-0.02241665508556412,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.0618923938221988,-0.062226366310210945,-0.06111401907078551,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,uniform,60,-0.027006245444186838,-0.03233496183912743,-0.022302088831667066,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.015237220169329047,-0.017360273506782042,-0.013344616089769668,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.03235689739868419,-0.03336124938485674,-0.025918706022532656,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.01656633875760538,-0.017355296462003067,-0.016154816123860383,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.027945903953321638,-0.028734613792176678,-0.02690976308607762,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.07033697379559267,-0.07055857528454157,-0.06788447200033709,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.04663093794749473,-0.04859636609710105,-0.0442611854983207,1.0
