variant_name,master_seed,size_tag,dim,cfg_classical,n_runs_classical,id_bal_acc_mean_classical,id_bal_acc_std_classical,ood_bal_acc_mean_classical,ood_bal_acc_std_classical,cfg_quantum,n_runs_quantum,id_bal_acc_mean_quantum,id_bal_acc_std_quantum,ood_bal_acc_mean_quantum,ood_bal_acc_std_quantum,delta_ood_bal_acc_mean,effect_ood_bal_acc_mean,winner_ood_bal_acc_mean,delta_id_bal_acc_mean,winner_id_bal_acc_mean
m2_hist_byteent,123,size_q4000_id1800_ood1800,10,rbf_gscale,15,0.7108,0.0054,0.721,0.039,zz_r2_full__d10,15,0.7877,0.0065,0.7924,0.0099,0.0714,1.777,quantum,0.0769,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,12,rbf_gscale,15,0.7123,0.0066,0.7466,0.022,zz_r2_full__d12,15,0.7929,0.0056,0.7968,0.0089,0.0502,2.1097,quantum,0.0806,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,4,rbf_gscale,15,0.6985,0.0183,0.6706,0.0152,zz_r2_full__d4,15,0.7242,0.0289,0.7186,0.0204,0.048,1.8847,quantum,0.0257,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,6,rbf_gscale,15,0.6976,0.0188,0.6929,0.0108,zz_r1_full__d6,15,0.7462,0.0288,0.7549,0.0094,0.062,4.3369,quantum,0.0486,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,8,rbf_gscale,15,0.6997,0.0206,0.7033,0.0245,zz_r2_full__d8,15,0.7718,0.0086,0.7705,0.0087,0.0672,2.582,quantum,0.0721,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,10,rbf_gscale,15,0.7052,0.0247,0.7089,0.0243,zz_r1_full__d10,15,0.7877,0.0183,0.7745,0.0073,0.0656,2.5905,quantum,0.0825,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,12,rbf_gscale,15,0.7056,0.0236,0.7068,0.0225,zz_r1_full__d12,15,0.7909,0.0186,0.7707,0.0152,0.0639,2.3508,quantum,0.0853,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,4,rbf_gscale,15,0.679,0.0183,0.6709,0.0175,zz_r2_full__d4,15,0.7302,0.0162,0.7382,0.0275,0.0673,2.0658,quantum,0.0513,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,6,rbf_gscale,15,0.6799,0.0203,0.6998,0.0256,zz_r2_full__d6,15,0.7465,0.014,0.7635,0.0127,0.0637,2.232,quantum,0.0666,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,8,rbf_gscale,15,0.6881,0.0181,0.7022,0.0284,zz_r2_full__d8,15,0.772,0.0096,0.7796,0.014,0.0774,2.4458,quantum,0.0839,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.701,0.0174,0.7209,0.0305,zz_r1_full__d10,15,0.7799,0.0106,0.7782,0.0184,0.0573,1.6083,quantum,0.0789,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,12,rbf_gscale,15,0.7022,0.0188,0.7253,0.0296,zz_r1_full__d12,15,0.7829,0.0095,0.7818,0.0172,0.0565,1.6514,quantum,0.0807,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,4,rbf_gscale,15,0.674,0.0058,0.6735,0.0068,zz_r2_full__d4,15,0.7364,0.0128,0.7338,0.0302,0.0602,1.9458,quantum,0.0624,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,6,rbf_gscale,15,0.6771,0.0104,0.6735,0.0064,zz_r2_full__d6,15,0.7559,0.0042,0.7724,0.0315,0.0989,3.0745,quantum,0.0788,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,8,rbf_gscale,15,0.7036,0.0212,0.6917,0.0178,zz_r2_full__d8,15,0.7827,0.0101,0.7878,0.018,0.096,3.7951,quantum,0.0791,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,10,rbf_gscale,15,0.7123,0.017,0.7115,0.0324,zz_r1_full__d10,15,0.7793,0.0112,0.7935,0.0111,0.082,2.3929,quantum,0.0669,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,12,rbf_gscale,15,0.7146,0.0195,0.7238,0.0373,zz_r1_full__d12,15,0.7877,0.0126,0.7998,0.0088,0.076,1.9857,quantum,0.0731,quantum
